SSH-2.0-ssh2js1.4.0
SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.5
{ Id: 'A1', pm25: 21.00, pm10: 30.00, temp: 4.00, hum: 11.00, atm: 0.00 , loc: $GNGGA,000032.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*57 }
SSH-2.0-Renci.SshNet.SshClient.0.0.1
{ Id: 'A1', pm25: 24.00, pm10: 32.00, temp: 9.00, hum: 17.00, atm: 0.00 , loc: $GNGGA,000032.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*57 }
{ Id: 'A1', pm25: 21.00, pm10: 30.00, temp: 5.00, hum: 15.00, atm: 1.00 , loc: $GNGGA,000043.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*51 }
{ Id: 'A1', pm25: 23.00, pm10: 33.00, temp: 5.00, hum: 19.00, atm: 2.00 , loc: $GNGGA,000054.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*57 }
{ Id: 'A1', pm25: 24.00, pm10: 32.00, temp: 5.00, hum: 18.00, atm: 3.00 , loc: $GNGGA,000105.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 22.00, pm10: 32.00, temp: 4.00, hum: 12.00, atm: 4.00 , loc: $GNGGA,000116.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*50 }
{ Id: 'A1', pm25: 22.00, pm10: 32.00, temp: 8.00, hum: 11.00, atm: 5.00 , loc: $GNGGA,000127.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 21.00, pm10: 31.00, temp: 6.00, hum: 15.00, atm: 6.00 , loc: $GNGGA,000138.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*5C }
{ Id: 'A1', pm25: 24.00, pm10: 34.00, temp: 4.00, hum: 18.00, atm: 7.00 , loc: $GNGGA,000149.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*5A }
SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.5
{ Id: 'A1', pm25: 23.00, pm10: 32.00, temp: 5.00, hum: 19.00, atm: 8.00 , loc: $GNGGA,000200.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 22.00, pm10: 32.00, temp: 4.00, hum: 14.00, atm: 9.00 , loc: $GNGGA,000211.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 22.00, pm10: 32.00, temp: 9.00, hum: 11.00, atm: 10.00 , loc: $GNGGA,000222.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 24.00, pm10: 32.00, temp: 4.00, hum: 14.00, atm: 11.00 , loc: $GNGGA,000233.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 23.00, pm10: 34.00, temp: 6.00, hum: 18.00, atm: 12.00 , loc: $GNGGA,000244.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 24.00, pm10: 34.00, temp: 5.00, hum: 12.00, atm: 13.00 , loc: $GNGGA,000255.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 20.00, pm10: 32.00, temp: 9.00, hum: 11.00, atm: 14.00 , loc: $GNGGA,000306.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*53 }
{ Id: 'A1', pm25: 21.00, pm10: 34.00, temp: 9.00, hum: 19.00, atm: 15.00 , loc: $GNGGA,000317.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*53 }
{ Id: 'A1', pm25: 24.00, pm10: 33.00, temp: 5.00, hum: 13.00, atm: 16.00 , loc: $GNGGA,000328.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*5F }
{ Id: 'A1', pm25: 24.00, pm10: 31.00, temp: 4.00, hum: 19.00, atm: 17.00 , loc: $GNGGA,000339.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*5F }
{ Id: 'A1', pm25: 24.00, pm10: 32.00, temp: 3.00, hum: 11.00, atm: 18.00 , loc: $GNGGA,000350.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*50 }
{ Id: 'A1', pm25: 23.00, pm10: 32.00, temp: 9.00, hum: 16.00, atm: 19.00 , loc: $GNGGA,000401.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*53 }
{ Id: 'A1', pm25: 22.00, pm10: 34.00, temp: 5.00, hum: 10.00, atm: 20.00 , loc: $GNGGA,000412.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*51 }
{ Id: 'A1', pm25: 23.00, pm10: 34.00, temp: 4.00, hum: 18.00, atm: 21.00 , loc: $GNGGA,000423.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*53 }
{ Id: 'A1', pm25: 21.00, pm10: 32.00, temp: 7.00, hum: 18.00, atm: 22.00 , loc: $GNGGA,000434.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*55 }
{ Id: 'A1', pm25: 20.00, pm10: 31.00, temp: 8.00, hum: 17.00, atm: 23.00 , loc: $GNGGA,000445.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*53 }
{ Id: 'A1', pm25: 20.00, pm10: 34.00, temp: 9.00, hum: 11.00, atm: 24.00 , loc: $GNGGA,000456.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*51 }
{ Id: 'A1', pm25: 22.00, pm10: 33.00, temp: 3.00, hum: 19.00, atm: 25.00 , loc: $GNGGA,000507.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*54 }
{ Id: 'A1', pm25: 22.00, pm10: 30.00, temp: 6.00, hum: 13.00, atm: 26.00 , loc: $GNGGA,000518.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*5A }
SSH-2.0-Renci.SshNet.SshClient.0.0.1
{ Id: 'A1', pm25: 21.00, pm10: 32.00, temp: 5.00, hum: 13.00, atm: 27.00 , loc: $GNGGA,000529.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*58 }
{ Id: 'A1', pm25: 21.00, pm10: 30.00, temp: 8.00, hum: 15.00, atm: 28.00 , loc: $GNGGA,000540.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*57 }
{ Id: 'A1', pm25: 22.00, pm10: 32.00, temp: 5.00, hum: 14.00, atm: 29.00 , loc: $GNGGA,000551.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*57 }
{ Id: 'A1', pm25: 22.00, pm10: 31.00, temp: 5.00, hum: 17.00, atm: 30.00 , loc: $GNGGA,000602.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 21.00, pm10: 31.00, temp: 9.00, hum: 18.00, atm: 31.00 , loc: $GNGGA,000613.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 24.00, pm10: 30.00, temp: 5.00, hum: 14.00, atm: 32.00 , loc: $GNGGA,000624.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*56 }
{ Id: 'A1', pm25: 23.00, pm10: 30.00, temp: 5.00, hum: 17.00, atm: 33.00 , loc: $GNGGA,000635.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*56 }
{ Id: 'A1', pm25: 20.00, pm10: 33.00, temp: 3.00, hum: 15.00, atm: 34.00 , loc: $GNGGA,000646.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 23.00, pm10: 31.00, temp: 2.00, hum: 13.00, atm: 35.00 , loc: $GNGGA,000657.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
{ Id: 'A1', pm25: 22.00, pm10: 33.00, temp: 4.00, hum: 15.00, atm: 36.00 , loc: $GNGGA,000708.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*59 }
{ Id: 'A1', pm25: 21.00, pm10: 30.00, temp: 7.00, hum: 14.00, atm: 37.00 , loc: $GNGGA,000719.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*59 }
{ Id: 'A1', pm25: 23.00, pm10: 32.00, temp: 8.00, hum: 18.00, atm: 38.00 , loc: $GNGGA,000730.264,4900.5061,N,00825.4025,E,0,0,,102.1,M,47.9,M,,*52 }
